rowid;kepid;kepoi_name;kepler_name;koi_disposition;koi_pdisposition;koi_score;koi_fpflag_nt;koi_fpflag_ss;koi_fpflag_co;koi_fpflag_ec;koi_period;koi_period_err1;koi_period_err2;koi_time0bk;koi_time0bk_err1;koi_time0bk_err2;koi_impact;koi_impact_err1;koi_impact_err2;koi_duration;koi_duration_err1;koi_duration_err2;koi_depth;koi_depth_err1;koi_depth_err2;koi_prad;koi_prad_err1;koi_prad_err2;koi_teq;koi_teq_err1;koi_teq_err2;koi_insol;koi_insol_err1;koi_insol_err2;koi_model_snr;koi_tce_plnt_num;koi_tce_delivname;koi_steff;koi_steff_err1;koi_steff_err2;koi_slogg;koi_slogg_err1;koi_slogg_err2;koi_srad;koi_srad_err1;koi_srad_err2;ra;dec;koi_kepmag
55;11754553;K00775.01;Kepler-52 c;CONFIRMED;CANDIDATE;10000;0;0;0;0;16384899880;521,9;-521,9;1727278200;2480;-2480;10;4370;-10;302490;7980;-7980;11271000;42000;-42000;200;90;-100;4330;;;835;149;-135;2890;2;q1_q17_dr25_tce;412600;8200;-8200;4661;22;-22;6150;270;-290;286738040;49975750;15095
56;11754553;K00775.02;Kepler-52 b;CONFIRMED;CANDIDATE;10000;0;0;0;0;7877416300;149,3;-149,3;1763759000;1470;-1470;410;4090;-410;208050;5170;-5170;13061000;37700;-37700;216;90;-110;5530;;;2218;397;-359;3870;1;q1_q17_dr25_tce;412600;8200;-8200;4661;22;-22;6150;270;-290;286738040;49975750;15095
57;11754553;K00775.03;Kepler-52 d;CONFIRMED;CANDIDATE;10000;0;0;0;0;36445400100;1809;-1809;1516012500;3920;-3920;280;4370;-280;400700;12600;-12600;11223000;53400;-53400;199;90;-90;3320;;;288;51;-47;2170;3;q1_q17_dr25_tce;412600;8200;-8200;4661;22;-22;6150;270;-290;286738040;49975750;15095
58;11812062;K00776.01;Kepler-673 b;CONFIRMED;CANDIDATE;10000;0;0;0;0;3728732147;9,36;-9,36;1717932550;195;-195;5580;1300;-1490;268300;3500;-3500;52265000;18500;-18500;602;1220;-520;10230;;;25834;16258;-6521;34520;1;q1_q17_dr25_tce;549700;16600;-14900;4577;34;-136;8090;1640;-700;290785740;50054119;15523
60;11853255;K00778.01;Kepler-674 b;CONFIRMED;CANDIDATE;10000;0;0;0;0;2243380573;26,7;-26,7;1706792330;900;-900;9150;90;-6300;111960;3840;-3840;8217000;25600;-25600;199;100;-120;8220;;;10760;2147;-2032;3890;1;q1_q17_dr25_tce;414900;8200;-9100;4698;24;-27;5640;300;-330;285176210;50149818;15135
62;11918099;K00780.01;Kepler-675 b;CONFIRMED;CANDIDATE;10000;0;0;0;0;2337437946;19,51;-19,51;1717619820;659;-659;2800;1890;-2800;199820;2710;-2710;9712000;13700;-13700;234;170;-90;10700;;;31116;6946;-4017;8240;1;q1_q17_dr25_tce;500500;7900;-7900;4595;12;-64;7650;550;-280;293833310;50230350;15334
65;11923270;K00781.01;Kepler-676 b;CONFIRMED;CANDIDATE;10000;0;0;0;0;11598222330;140,7;-140,7;1803953760;923;-923;6790;1870;-4700;252370;5200;-5200;28045000;46300;-46300;265;210;-290;3960;;;582;149;-163;7100;1;q1_q17_dr25_tce;368800;7300;-9100;4790;50;-45;4730;370;-510;296221950;50287220;15937
66;11960862;K00782.01;Kepler-677 b;CONFIRMED;CANDIDATE;10000;0;0;0;0;6575315881;37,26;-37,26;1736340440;455;-455;3900;650;-3060;430840;3060;-3060;27933000;14900;-14900;531;1500;-810;10150;;;25138;20910;-9163;22110;1;q1_q17_dr25_tce;599200;16200;-18000;4415;105;-195;9890;2800;-1510;290098050;50321609;15312
67;12020329;K00783.01;Kepler-678 b;CONFIRMED;CANDIDATE;10000;0;0;0;0;7275040844;46,77;-46,77;1699942170;507;-507;5470;520;-2290;753770;6810;-6810;30010000;11500;-11500;486;1050;-370;8330;;;11364;7531;-2897;31210;1;q1_q17_dr25_tce;548500;16400;-18000;4556;28;-161;8670;1870;-670;295455290;50494560;15080
68;12066335;K00784.01;Kepler-231 c;CONFIRMED;CANDIDATE;10000;0;0;0;0;19271538920;414,5;-414,5;1867709300;1820;-1820;310;3600;-310;275940;5510;-5510;12198000;35300;-35300;193;100;-120;3930;;;566;113;-106;3710;1;q1_q17_dr25_tce;407700;8100;-8100;4702;27;-27;5600;300;-340;293973360;50531910;15385
69;12066335;K00784.02;Kepler-231 b;CONFIRMED;CANDIDATE;10000;0;0;0;0;10065243170;149;-149;1362890600;1190;-1190;6280;30;-4780;136900;3930;-3930;10533000;39200;-39200;191;100;-120;4880;;;1343;269;-250;3030;2;q1_q17_dr25_tce;407700;8100;-8100;4702;27;-27;5600;300;-340;293973360;50531910;15385
70;12070811;K00785.01;Kepler-679 b;CONFIRMED;CANDIDATE;10000;0;0;0;0;12393565100;393,2;-393,2;1787472500;2450;-2450;8830;330;-6400;388960;8340;-8340;9166000;29100;-29100;266;540;-230;6770;;;4968;3116;-1297;3580;1;q1_q17_dr25_tce;555700;16600;-16600;4603;34;-128;7500;1520;-650;296021330;50567780;15505
71;8395660;K00116.02;Kepler-106 e;CONFIRMED;CANDIDATE;9980;0;0;0;0;43844397210;961,3;-961,3;1519353800;1920;-1920;8520;390;-5850;680200;11900;-11900;6152000;7700;-7700;287;430;-300;5310;;;1877;798;-480;8370;2;q1_q17_dr25_tce;585400;10500;-11700;4406;90;-110;10120;1540;-1030;300863980;44337551;12882
74;3342970;K00800.01;Kepler-234 b;CONFIRMED;CANDIDATE;10000;0;0;0;0;2711504086;38;-38;1700341700;1110;-1110;230;4050;-230;300990;4230;-4230;8375000;14500;-14500;312;1020;-340;14200;;;96079;93174;-30976;6450;1;q1_q17_dr25_tce;621400;17400;-23900;4442;54;-216;10760;3530;-1180;291653530;38494659;15541
75;3342970;K00800.02;Kepler-234 c;CONFIRMED;CANDIDATE;10000;0;0;0;0;7212037480;155,3;-155,3;1728178200;1630;-1630;120;3940;-120;404910;5800;-5800;9504000;19500;-19500;332;1090;-360;10250;;;26058;25270;-8401;5150;2;q1_q17_dr25_tce;621400;17400;-23900;4442;54;-216;10760;3530;-1180;291653530;38494659;15541
77;12470844;K00790.01;Kepler-233 b;CONFIRMED;CANDIDATE;10000;0;0;0;0;8472379110;156;-156;1741621200;1490;-1490;220;3780;-220;272450;4840;-4840;11235000;26700;-26700;259;370;-220;7510;;;7544;3544;-1930;4760;1;q1_q17_dr25_tce;535400;15900;-15900;4587;32;-104;7880;1130;-660;296366520;51319519;15339
78;12470844;K00790.02;Kepler-233 c;CONFIRMED;CANDIDATE;9890;0;0;0;0;60418936900;5043;-5043;1811636700;6250;-6250;940;3590;-940;503900;18400;-18400;9313000;49600;-49600;236;340;-200;3900;;;549;258;-140;2010;2;q1_q17_dr25_tce;535400;15900;-15900;4587;32;-104;7880;1130;-660;296366520;51319519;15339
79;12644822;K00791.01;Kepler-682 b;CONFIRMED;CANDIDATE;10000;0;0;0;0;12611904345;66,5;-66,5;1808922840;413;-413;5500;650;-1280;514970;5920;-5920;61056000;27600;-27600;740;2200;-730;7530;;;7615;6633;-2139;27720;1;q1_q17_dr25_tce;579500;15600;-17300;4508;39;-208;9190;2730;-910;289112210;51737381;15140
82;2713049;K00794.01;Kepler-683 b;CONFIRMED;CANDIDATE;10000;0;0;0;0;2539183147;50,73;-50,73;1696749400;1600;-1600;2380;1980;-2380;242820;5590;-5590;3821000;11400;-11400;206;290;-280;13320;;;74309;29034;-21244;3890;1;q1_q17_dr25_tce;551900;8200;-7400;4350;126;-103;10620;1540;-1400;291439970;37905659;15026
83;3114167;K00795.01;Kepler-684 b;CONFIRMED;CANDIDATE;10000;0;0;0;0;6770300385;95,37;-95,37;1705766200;1080;-1080;8380;830;-5890;208440;4540;-4540;13040000;29700;-29700;277;460;-150;8120;;;10287;5388;-2124;5080;1;q1_q17_dr25_tce;565300;16600;-16600;4656;28;-112;6790;1120;-370;290870510;38273628;15591
86;4139816;K00812.02;Kepler-235 d;CONFIRMED;CANDIDATE;10000;0;0;0;0;20060363360;583,9;-583,9;1474655400;2410;-2410;5560;3230;-3680;332030;7540;-7540;14947000;45100;-45100;196;130;-160;3610;;;400;89;-90;3520;2;q1_q17_dr25_tce;395000;7000;-8600;4754;42;-31;4930;330;-400;286079130;39278320;15954
87;4139816;K00812.03;Kepler-235 e;CONFIRMED;CANDIDATE;10000;0;0;0;0;46184203900;2654;-2654;1652372900;4300;-4300;130;4150;-130;475800;13000;-13000;13947000;56400;-56400;183;120;-150;2730;;;132;29;-30;2600;3;q1_q17_dr25_tce;395000;7000;-8600;4754;42;-31;4930;330;-400;286079130;39278320;15954
88;8395660;K00116.04;Kepler-106 d;CONFIRMED;CANDIDATE;9520;0;0;0;0;23980085400;2003;-2003;1475370000;6470;-6470;9500;40;-6600;535100;17700;-17700;1040000;6500;-6500;131;200;-130;6490;;;4194;1784;-1073;1710;4;q1_q17_dr25_tce;585400;10500;-11700;4406;90;-110;10120;1540;-1030;300863980;44337551;12882
89;4139816;K00812.04;Kepler-235 c;CONFIRMED;CANDIDATE;9940;0;0;0;0;7825021680;389;-389;1365499500;4360;-4360;7080;2340;-4870;218600;12000;-12000;5208000;36400;-36400;120;80;-100;4940;;;1405;310;-319;1590;4;q1_q17_dr25_tce;395000;7000;-8600;4754;42;-31;4930;330;-400;286079130;39278320;15954
90;4275191;K00813.01;Kepler-688 b;CONFIRMED;CANDIDATE;10000;0;0;0;0;3895936525;7,71;-7,71;1705275520;157;-157;5240;690;-2370;231110;3020;-3020;85448000;29500;-29500;734;1530;-650;10050;;;24162;15531;-6419;37080;1;q1_q17_dr25_tce;555700;16700;-16700;4592;34;-136;7740;1610;-690;294655240;39308361;15725
91;4476123;K00814.01;Kepler-689 b;CONFIRMED;CANDIDATE;9990;0;0;0;0;22366464660;976,1;-976,1;1754586200;3540;-3540;4000;660;-4000;522800;12200;-12200;9868000;35100;-35100;232;380;-160;5360;;;1945;1029;-456;3210;1;q1_q17_dr25_tce;539500;16000;-16000;4615;32;-104;7340;1220;-520;294710630;39521740;15583
92;3351888;K00801.01;Kepler-685 b;CONFIRMED;CANDIDATE;10000;0;0;0;0;1625522174;1,58;-1,58;1708266564;76,1;-76,1;760;220;-760;238963;338;-338;79690000;11800;-11800;973;1410;-1420;15790;;;146741;57636;-45224;79970;1;q1_q17_dr25_tce;553900;8300;-7400;4322;137;-100;11060;1610;-1610;293871920;38422939;15001
97;3832474;K00806.01;Kepler-30 d;CONFIRMED;CANDIDATE;10000;0;0;0;0;1,43206E+11;2348;-2348;1542355200;1300;-1300;3790;730;-2730;893020;9610;-9610;105660000;82400;-82400;890;820;-380;3080;;;214;59;-35;13880;2;q1_q17_dr25_tce;548500;9800;-12000;4556;14;-81;8670;790;-370;285283630;38947281;15403
98;8395660;K00116.03;Kepler-106 b;CONFIRMED;CANDIDATE;9500;0;0;0;0;6164876000;463,5;-463,5;1356391600;6610;-6610;6460;3230;-4300;326200;18600;-18600;558000;4300;-4300;79;130;-80;10210;;;25635;10903;-6557;1440;3;q1_q17_dr25_tce;585400;10500;-11700;4406;90;-110;10120;1540;-1030;300863980;44337551;12882
99;3832474;K00806.02;Kepler-30 c;CONFIRMED;CANDIDATE;7450;0;0;0;0;60324942160;320,7;-320,7;2438925780;423;-423;2240;670;-1460;661880;3270;-3270;202800000;64000;-64000;1219;1110;-520;4110;;;677;189;-109;34720;1;q1_q17_dr25_tce;548500;9800;-12000;4556;14;-81;8670;790;-370;285283630;38947281;15403
100;3832474;K00806.03;Kepler-30 b;CONFIRMED;CANDIDATE;;0;0;0;0;29159861500;2534;-2534;1506992200;7180;-7180;3619;945;-3618;480300;20000;-20000;4880000;43500;-43500;191;200;-70;5240;;;1785;561;-268;1160;;;548500;9900;-11200;4556;14;-94;8670;920;-340;285283630;38947281;15403
103;3935914;K00809.01;Kepler-686 b;CONFIRMED;CANDIDATE;10000;0;0;0;0;1594745374;1,13;-1,13;1706483505;57,9;-57,9;5140;220;-370;196040;1060;-1060;150440000;20300;-20300;1130;3090;-1330;15390;;;132942;106775;-41298;100930;1;q1_q17_dr25_tce;593400;16000;-17800;4491;65;-195;8930;2440;-1050;285213810;39027481;15530
105;4049131;K00811.01;Kepler-687 b;CONFIRMED;CANDIDATE;10000;0;0;0;0;20505889210;320,6;-320,6;1814342800;1220;-1220;2600;1510;-2600;405950;4810;-4810;21055000;31000;-31000;341;280;-310;5180;;;1706;547;-461;7850;1;q1_q17_dr25_tce;490500;14800;-14800;4544;72;-44;7610;630;-700;289315430;39153278;15398
106;4139816;K00812.01;Kepler-235 b;CONFIRMED;CANDIDATE;10000;0;0;0;0;3340218842;31,77;-31,77;1719790620;750;-750;4660;20;-4370;191040;3180;-3180;16326000;26600;-26600;203;130;-170;6560;;;4373;967;-992;7160;1;q1_q17_dr25_tce;395000;7000;-8600;4754;42;-31;4930;330;-400;286079130;39278320;15954
108;5358241;K00829.01;Kepler-53 b;CONFIRMED;CANDIDATE;10000;0;0;0;0;18649327280;520,2;-520,2;1747710000;2240;-2240;800;3290;-800;440560;6870;-6870;8936000;20900;-20900;312;470;-280;7010;;;5713;2299;-1226;4610;1;q1_q17_dr25_tce;577500;7800;-7800;4405;66;-123;10530;1610;-940;290461760;40562462;15386
109;10875245;K00117.02;Kepler-107 c;CONFIRMED;CANDIDATE;10000;0;0;0;0;4901449760;107;-107;1386054800;1750;-1750;5290;210;-4600;416540;5850;-5850;1407000;2900;-2900;170;80;-50;12620;;;59874;8412;-6683;5060;3;q1_q17_dr25_tce;584700;6400;-7500;4191;20;-18;14020;630;-460;297028260;48208611;12487
