rowid;kepid;kepoi_name;kepler_name;koi_disposition;koi_pdisposition;koi_score;koi_fpflag_nt;koi_fpflag_ss;koi_fpflag_co;koi_fpflag_ec;koi_period;koi_period_err1;koi_period_err2;koi_time0bk;koi_time0bk_err1;koi_time0bk_err2;koi_impact;koi_impact_err1;koi_impact_err2;koi_duration;koi_duration_err1;koi_duration_err2;koi_depth;koi_depth_err1;koi_depth_err2;koi_prad;koi_prad_err1;koi_prad_err2;koi_teq;koi_teq_err1;koi_teq_err2;koi_insol;koi_insol_err1;koi_insol_err2;koi_model_snr;koi_tce_plnt_num;koi_tce_delivname;koi_steff;koi_steff_err1;koi_steff_err2;koi_slogg;koi_slogg_err1;koi_slogg_err2;koi_srad;koi_srad_err1;koi_srad_err2;ra;dec;koi_kepmag
96;3734868;K00805.01;;FALSE POSITIVE;FALSE POSITIVE;530;0;1;0;0;10328035714;37,62;-37,62;1745810540;306;-306;2810;400;-640;779150;2720;-2720;169180000;31800;-31800;1328;3640;-2410;8430;;;11931;9849;-4858;63680;1;q1_q17_dr25_tce;562700;16900;-16900;4359;180;-180;10240;2800;-1860;287696750;38886452;15646
101;3836375;K00807.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;0;1;1;1540397253;27,02;-27,02;1705047900;1500;-1500;12250;68130;-1010;215410;8460;-8460;8161000;25700;-25700;2569;7440;-2330;14700;;;110568;96556;-30698;3880;1;q1_q17_dr25_tce;566300;17100;-18800;4530;36;-204;9150;2650;-830;286926390;38921631;15974
102;3838486;K00808.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;0;1;1;2990254430;116,8;-116,8;1719834000;3090;-3090;140;3340;-140;541400;11300;-11300;5892000;14100;-14100;170;100;-150;9180;;;16845;4355;-4545;4850;1;q1_q17_dr25_tce;466700;14000;-15400;4578;48;-28;7310;420;-630;287748810;38929550;15842
107;5287983;K00828.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;1;0;2507089906;24,01;-24,01;1710024550;835;-835;12550;165000;-3490;200670;4270;-4270;13392000;24700;-24700;3026;9570;-3190;13260;;;73047;69982;-23011;6490;1;q1_q17_dr25_tce;592600;18400;-22600;4506;54;-216;9390;2970;-990;295378050;40493401;15555
117;4932348;K00819.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;0;0;38036729482;34,84;-34,84;1969349470;71,6;-71,6;5010;30;-50;434617;645;-645;828720000;83300;-83300;2750;5280;-2270;5000;;;1481;885;-391;130000;1;q1_q17_dr25_tce;557500;16600;-18300;4521;38;-152;9320;1790;-770;294147890;40055538;15472
118;4936180;K00820.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;0;0;4640900310;148,5;-148,5;1736463800;2610;-2610;12800;980;-700;3551200;27400;-27400;24506000;11700;-11700;3009;5790;-3140;11550;;;42108;25738;-12400;29690;1;q1_q17_dr25_tce;646300;20500;-20500;4500;87;-163;8260;1590;-860;295113710;40071171;15270
119;11913073;K00011.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;1;1;3747838198;38,96;-38,96;1716650400;902;-902;11210;11040;-350;506420;4450;-4450;6160000;5300;-5300;1365;3110;-1040;10310;;;26676;18049;-6276;13820;1;q1_q17_dr25_tce;551400;14900;-14900;4569;29;-162;8260;1880;-630;291061520;50265129;13496
122;5077629;K00822.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;0;0;7919369370;20,4;-20,4;1721810920;202;-202;7330;100;-110;331480;2090;-2090;151480000;49800;-49800;1034;2590;-870;8140;;;10400;7720;-2678;38900;1;q1_q17_dr25_tce;569000;15400;-17200;4588;40;-160;7760;1950;-650;283538450;40217999;15805
128;5283542;K00827.01;;FALSE POSITIVE;FALSE POSITIVE;370;0;0;1;0;5975817540;111,8;-111,8;1747760200;1370;-1370;9410;170;-6180;306500;18500;-18500;9624000;23500;-23500;386;1320;-440;10470;;;28425;29554;-9093;5030;1;q1_q17_dr25_tce;610800;19300;-21400;4471;54;-216;9970;3410;-1140;294223970;40417858;15546
129;5649215;K00839.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;0;1;1;2446737317;30,89;-30,89;1706695100;1040;-1040;12410;12950;-1350;472110;5460;-5460;11779000;12700;-12700;2625;6900;-2470;12610;;;59719;46145;-16249;11020;1;q1_q17_dr25_tce;576400;15400;-17100;4548;35;-184;8630;2270;-810;298961120;40862808;15021
134;5370302;K00831.01;;FALSE POSITIVE;FALSE POSITIVE;60;0;1;0;0;3904342500;13,39;-13,39;1733937340;266;-266;7090;110;-150;383100;2710;-2710;162280000;62100;-62100;1228;3560;-1190;11040;;;35105;29842;-9769;32340;1;q1_q17_dr25_tce;581000;15700;-17500;4526;50;-200;8980;2600;-870;294056760;40549679;15016
135;5372966;K00832.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;0;0;9286358079;5,46;-5,46;1718214689;45;-45;3770;90;-90;349949;533;-533;447910000;32800;-32800;1761;4050;-1870;7960;;;9503;6672;-2773;167110;1;q1_q17_dr25_tce;567000;16900;-16900;4523;66;-154;8210;1890;-870;294743960;40533920;15365
136;5376067;K00833.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;0;0;3951405455;22,58;-22,58;1732761250;454;-454;12760;60270;-2140;218620;2670;-2670;24539000;25200;-25200;3144;8940;-2960;11330;;;38871;33312;-10659;11720;1;q1_q17_dr25_tce;604600;18200;-18200;4539;48;-204;8690;2470;-820;295504390;40505489;15446
145;5481416;K00836.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;1;1;2384052875;47,4;-47,4;1715836200;1630;-1630;11780;56850;-1150;309180;8170;-8170;12681000;29900;-29900;1706;1320;-1600;10100;;;24487;7126;-6702;5050;1;q1_q17_dr25_tce;479400;13000;-14400;4580;63;-32;7010;540;-660;299642850;40691238;15836
148;5534814;K00838.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;0;0;4859386384;12,72;-12,72;1730114690;207;-207;12590;10890;-1780;227570;1220;-1220;60443000;27200;-27200;3833;12800;-4270;11140;;;36423;35871;-11809;26970;1;q1_q17_dr25_tce;607200;16800;-23200;4470;56;-224;9880;3300;-1100;292214360;40759762;15311
162;6267425;K00848.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;1;0;3166465862;22,22;-22,22;1720026270;586;-586;12660;69240;-1020;293810;3270;-3270;43572000;44400;-44400;2682;2480;-2740;9540;;;19631;6772;-5473;12210;1;q1_q17_dr25_tce;496800;15100;-13600;4575;72;-44;7040;650;-720;284869290;41679192;15999
176;6599919;K00858.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;0;0;13610148190;59,69;-59,69;1739873190;346;-346;10810;3470;-1190;259400;1940;-1940;57329000;38100;-38100;1902;4920;-2280;7330;;;6829;5216;-2086;18410;1;q1_q17_dr25_tce;569700;15400;-15400;4460;98;-182;9030;2340;-1080;289897770;42009151;15060
177;6675056;K00859.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;1;1;10443319910;228,7;-228,7;1754046000;1850;-1850;2300;7990;-2300;274300;50500;-50500;11598000;64200;-64200;266;200;-270;6670;;;4694;1393;-1292;5170;1;q1_q17_dr25_tce;494700;14800;-13300;4516;77;-56;8020;590;-810;286243560;42148811;15546
179;6756669;K00862.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;0;0;5851520671;3,31;-3,31;1738228336;44,8;-44,8;2110;200;-410;311058;627;-627;330040000;26100;-26100;1462;2920;-1580;9010;;;15589;9685;-4615;163040;1;q1_q17_dr25_tce;553200;16700;-16700;4530;70;-130;8060;1610;-870;284087310;42233231;15330
186;6862603;K00866.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;1;0;2861159894;30,59;-30,59;1716481060;880;-880;9650;1300;-430;188320;8780;-8780;10143000;28600;-28600;437;1380;-460;13550;;;79710;76891;-24421;5830;1;q1_q17_dr25_tce;612600;19300;-21400;4458;52;-208;10210;3240;-1080;291671720;42343109;15618
195;7031517;K00871.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;0;0;12940668656;33,52;-33,52;1794230140;206;-206;8970;1600;-720;248450;1650;-1650;424500000;198000;-198000;2294;4930;-1960;7230;;;6464;4022;-1672;30750;1;q1_q17_dr25_tce;587500;14000;-17500;4572;36;-144;8090;1740;-690;291119690;42507069;15215
203;7270230;K00876.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;0;0;6998099523;23,56;-23,56;1718989130;267;-267;73610;469900;-13510;204880;1420;-1420;202850000;128000;-128000;58866;128500;-46160;8530;;;12522;8162;-2993;19230;1;q1_q17_dr25_tce;561200;15200;-15200;4566;38;-152;8290;1810;-650;287884120;42832439;15877
207;3247396;K00121.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;1;1;8811102200;164,2;-164,2;1364568000;1510;-1510;12230;110800;-2150;506830;7710;-7710;4011000;6100;-6100;6366;8980;-17950;13990;;;90492;37114;-47154;7680;1;q1_q17_dr25_tce;620000;12500;-11300;3800;225;-75;24040;3390;-6780;294460880;38383461;12759
213;7708215;K00894.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;1;1;7942617600;241,9;-241,9;1745256300;2580;-2580;9420;70;-80;670300;17300;-17300;15907000;40400;-40400;468;1460;-480;8780;;;14057;12866;-4184;6040;1;q1_q17_dr25_tce;581100;15700;-19200;4521;39;-221;9260;2890;-960;299001430;43399632;15260
215;7377033;K00882.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;0;0;1956811408;10,59;-10,59;1706942080;430;-430;10910;118300;-230;219580;2570;-2570;249050000;244000;-244000;2158;1330;-1470;11090;;;35716;10066;-8223;12540;1;q1_q17_dr25_tce;520900;17100;-15500;4657;63;-32;6030;370;-410;295835360;42943062;15533
225;7552344;K00888.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;0;0;1000747038;2,91;-2,91;1699742290;225;-225;9080;50;-6350;99670;3880;-3880;18235000;16900;-16900;414;750;-570;16200;;;163520;95896;-56834;14740;1;q1_q17_dr25_tce;547200;17900;-17900;4499;117;-130;7900;1430;-1080;297975130;43164909;15419
236;7767559;K00895.01;;FALSE POSITIVE;FALSE POSITIVE;2280;0;1;0;0;4409409243;58,31;-58,31;1718943300;1050;-1050;280;2690;-280;386360;4680;-4680;128610000;174000;-174000;1095;3050;-2030;11010;;;34706;29888;-14345;8580;1;q1_q17_dr25_tce;560000;18600;-16900;4368;185;-204;9750;2710;-1810;296410190;43455391;15403
257;8180063;K00905.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;1;0;5795063956;50,32;-50,32;1726974670;690;-690;9490;50;-40;324960;5130;-5130;16929000;26500;-26500;433;980;-390;9500;;;19274;12889;-4949;11940;1;q1_q17_dr25_tce;586500;15800;-15800;4563;38;-152;8270;1860;-740;296507540;44036072;15289
267;8256049;K00909.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;0;1;1;16371986610;281,8;-281,8;1727592600;1380;-1380;93030;657500;-65940;384490;6540;-6540;41476000;84000;-84000;54037;39250;-58420;4380;;;871;256;-257;5450;1;q1_q17_dr25_tce;418700;12500;-12500;4656;56;-24;5920;430;-640;298678620;44175499;15654
271;9159275;K00930.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;1;1;3044770796;44,62;-44,62;1720191600;1150;-1150;12520;3690;-1080;1001340;6630;-6630;16950000;10100;-10100;2454;4890;-1960;10760;;;31736;19604;-7926;20350;1;q1_q17_dr25_tce;552500;16500;-16500;4603;32;-120;7530;1500;-600;293684940;45516830;15621
273;9166870;K00932.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;0;1;1;3855599139;40,03;-40,03;1706795700;863;-863;8640;140;-5990;318300;6160;-6160;10309000;13200;-13200;357;1000;-330;11580;;;42574;34936;-12092;9010;1;q1_q17_dr25_tce;593600;16400;-20500;4501;46;-196;9650;2680;-890;296395420;45569920;15054
275;8605074;K00915.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;0;0;37601661282;57,9;-57,9;1947133830;123;-123;4080;40;-50;830604;855;-855;591300000;43700;-43700;2722;8220;-4420;6060;;;3186;2815;-1230;166730;1;q1_q17_dr25_tce;614000;16400;-20100;4354;124;-201;10960;3310;-1780;282306030;44714661;15505
277;8655354;K00917.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;1;0;6719690890;139,4;-139,4;1733577600;1670;-1670;9850;224500;-290;302310;8790;-8790;9697000;26200;-26200;437;1060;-570;9520;;;19418;14301;-6413;4540;1;q1_q17_dr25_tce;593100;17700;-17700;4479;94;-175;8660;2100;-1130;301049560;44706299;15172
279;8686150;K00919.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;0;0;51425985780;127,9;-127,9;1735359330;196;-196;2030;80;-110;1694220;1480;-1480;660680000;43100;-43100;2966;9260;-3310;5490;;;2140;1969;-695;184380;1;q1_q17_dr25_tce;625700;17300;-23900;4410;54;-216;11470;3580;-1280;290638980;44806789;15631
285;5897826;K00126.01;Kepler-469 b;FALSE POSITIVE;FALSE POSITIVE;0;1;0;0;0;33803643660;227,8;-227,8;2022597310;544;-544;230;880;-230;1148130;1870;-1870;134940000;26600;-26600;2070;3240;-4860;7450;;;7271;3255;-3345;52990;1;q1_q17_dr25_tce;585500;11700;-11700;3999;196;-84;17960;2810;-4220;297475860;41114288;13109
288;9016295;K00925.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;0;0;19974485239;17,5;-17,5;1716300909;70,8;-70,8;8860;70;-80;423479;624;-624;402930000;44300;-44300;2656;8310;-2770;7000;;;5684;5257;-1731;139880;1;q1_q17_dr25_tce;610800;17100;-21400;4471;52;-221;9970;3120;-1040;289727480;45367661;15217
290;9097120;K00927.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;0;0;23899634407;47,91;-47,91;1889827970;160;-160;12450;1040;-880;381881;835;-835;209530000;43800;-43800;4404;13880;-4620;6520;;;4280;3962;-1323;54780;1;q1_q17_dr25_tce;619200;16900;-22500;4503;52;-208;9240;2910;-970;294717680;45485760;15453
297;9171801;K00933.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;1;0;3187067566;87,99;-87,99;1716497600;2170;-2170;12340;162200;-2160;311900;12400;-12400;10374000;34500;-34500;2388;5100;-2350;10790;;;31976;22281;-9263;3720;1;q1_q17_dr25_tce;545000;19700;-18000;4552;45;-135;8110;1730;-800;297788480;45565418;15653
321;10485069;K01171.01;;FALSE POSITIVE;FALSE POSITIVE;;1;0;0;1;445277068;14,34;-14,34;1335231200;2520;-2520;12962;1082;-2590;353900;27600;-27600;1867000;7800;-7800;3574;14080;-3490;25620;;;1017711;1167133;-294016;2890;1;q1_q17_dr24_tce;616700;15600;-20500;4444;45;-264;10640;4190;-1040;297103490;47643570;15343
322;3233043;K00966.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;0;0;379463865;0,28;-0,28;1702480164;60,1;-60,1;12460;6320;-640;86896;507;-507;19733000;5800;-5800;5956;34570;-38050;30000;;;1925681;3421239;-1703052;45860;1;q1_q17_dr25_tce;507500;13600;-15100;3892;707;-303;17830;10350;-11390;290911190;38335579;13787
323;6579806;K00967.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;0;0;9880479780;15,53;-15,53;1736086720;127;-127;10200;2370;-410;278458;644;-644;185410000;36600;-36600;2360;7060;-2340;8600;;;12945;11332;-3750;53450;1;q1_q17_dr25_tce;611300;16400;-20000;4512;52;-208;9170;2740;-910;281669160;42038639;15212
324;3560301;K00968.01;;FALSE POSITIVE;FALSE POSITIVE;0;1;0;0;0;4648415600;784,5;-784,5;2610939500;7770;-7770;9680;170;-310;3819390;0;0;1284000;2400;-2400;506;520;-2100;22590;;;615288;208966;-431489;9170;1;q1_q17_dr25_tce;698000;16700;-23000;3577;352;-88;34820;3620;-14470;295266820;38611240;10963
325;4044005;K00969.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;0;0;17512014768;32,16;-32,16;1742825920;143;-143;9940;2430;-70;182480;727;-727;45117000;13900;-13900;1366;4260;-2300;8040;;;9877;9377;-4037;32230;1;q1_q17_dr25_tce;622400;19700;-24100;4330;144;-192;11320;3530;-1900;287616330;39127239;12336
326;11502218;K00970.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;0;0;3988602100;80,34;-80,34;1710185200;1590;-1590;600;3640;-600;173760;5880;-5880;6735000;21800;-21800;3439;4710;-10990;31450;;;2313572;803046;-1345776;3710;1;q1_q17_dr25_tce;481300;5000;-12100;2472;156;-117;136520;18690;-43610;289093230;49424484;6974
328;5802246;K01044.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;1;0;525154153;3,08;-3,08;1337443590;504;-504;12260;4830;-1670;214410;2970;-2970;7475000;8100;-8100;2361;5280;-2850;20730;;;439151;301422;-135021;11610;1;q1_q17_dr25_tce;558200;16900;-15200;4497;81;-150;8460;1890;-1020;295098660;41007038;15058
329;6066403;K01045.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;0;1;1;1303861044;11,92;-11,92;1342120590;781;-781;12580;3340;-1780;405410;3790;-3790;5982000;5100;-5100;2785;7530;-3250;16100;;;159519;126841;-47856;14060;1;q1_q17_dr25_tce;575800;15500;-15500;4475;78;-182;9020;2440;-1050;298135890;41332062;13555
330;6209637;K01046.01;;FALSE POSITIVE;FALSE POSITIVE;;0;0;0;0;734524960;;;1334310800;;;;;;670000;;;;;;;;;;;;;;;;;;;;;;;;;;;293287990;41560455;13220
331;5988031;K01047.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;0;1;0;2555491760;305,2;-305,2;1345007800;8870;-8870;12280;6110;-1070;908300;50700;-50700;1138000;5600;-5600;2335;7020;-2340;13120;;;70168;61943;-19824;2430;1;q1_q17_dr25_tce;594800;16100;-17800;4508;50;-200;9010;2710;-900;298773250;41214729;14554
332;7684873;K00014.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;0;0;2947376671;32,28;-32,28;1715229780;883;-883;26410;109900;-7070;209110;4370;-4370;4332000;8500;-8500;40359;85990;-105000;24040;;;790384;508212;-425941;6230;1;q1_q17_dr25_tce;809000;22600;-34000;4002;198;-132;22340;4760;-5810;292611940;43305141;10470
334;2851100;K01104.01;;FALSE POSITIVE;FALSE POSITIVE;0;0;1;1;0;890110752;22,12;-22,12;1332647000;1960;-1960;2160;2510;-2160;87740;9420;-9420;3215000;23800;-23800;125;120;-70;13720;;;83842;28272;-17525;1960;1;q1_q17_dr25_tce;476800;14300;-12900;4628;20;-60;7110;640;-430;291170680;38008591;15723
